2.0;400.0;1520.0
2.2;295.0;1200.0
2.4;135.0;545.0
2.6;125.0;555.0
2.8;195.0;910.0
3.0;205.0;780.0
3.2;165.0;680.0
3.4;60.0;445.0
3.6;640.0;1920.0
3.8;840.0;2180.0
4.0;950.0;1900.0
4.2;980.0;2080.0
4.4;900.0;1800.0
4.6;900.0;1700.0
4.8;900.0;1700.0
5.0;940.0;1720.0
5.2;1020.0;1540.0
5.4;1040.0;1920.0
5.6;1080.0;1990.0
5.8;1060.0;2150.0
6.0;1290.0;2360.0
6.2;1370.0;2140.0
6.4;1420.0;2680.0
6.6;1460.0;2750.0
6.8;1510.0;2810.0
7.0;1560.0;2460.0
7.2;1580.0;2900.0
7.4;1680.0;3200.0
7.6;1600.0;2780.0
7.8;1620.0;2880.0
8.0;2020.0;3670.0
8.2;2260.0;4040.0
8.4;2100.0;3500.0
8.6;1900.0;3730.0
8.8;2170.0;3000.0
9.0;2160.0;3120.0
9.2;2160.0;3820.0
9.4;1750.0;3520.0
9.6;1780.0;2750.0
9.8;1980.0;3900.0
10.0;1200.0;2050.0
10.2;1100.0;3800.0
